Image_Path,Class,Normalized_Class,Flavonoid,Phenolic,Tannin
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_122158.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_122200.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_122202.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_122204.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_122208.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_122210.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_122213.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_122217.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_122220.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_122336.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_122340.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_122348.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
C:\Users\shivani\Desktop\Iceburg Lettuce\Ascorbic 10 PPM\20250411_122350.jpg,Ascorbic 10 PPM,Ascorbic_10,29.8,48.0,11.2
